Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Chicago,1,96,44.1,23.1,8.6,4.3,13,21.1,29.2,14.9,111.6,17.5
San Antonio,1,91.7,43,21.8,8.1,6.7,14.3,20.6,31.4,11.6,108.1,20
L.A.Lakers,1,100.6,46.2,23.1,7.3,6.3,13.1,23.1,32.7,13.5,116.3,16.9
L.A.Lakers,3,101.1,45.3,23,7.3,5.9,13.8,22.8,31.9,13.4,115.9,13
L.A.Lakers,1,100.6,44.5,22.3,7.5,5.8,12.3,22.5,32,12.4,115.6,14
San Antonio,3,95.6,43.2,20.1,7.7,6.5,15.1,20.7,31.6,11.6,108.6,11.9
Detroit,3,89.4,43.2,20.5,8,7,14.3,20.8,30.7,12.5,103.6,13.6
San Antonio,1,96.4,42.3,20.9,7.1,6.4,13.2,21.2,30.2,12.1,109.9,15
Miami,5,99.1,42.9,19.9,6.5,5.2,14.2,23.1,32.6,10.3,110.7,11.2
San Antonio,2,98,40.7,21.7,7.2,5.2,13.3,19.6,31.2,9.5,112.4,17.3
Boston,1,99,41.5,22.1,8.3,4.5,13.9,23.1,31.2,10.4,115,22
L.A.Lakers,3,105.9,43.5,22.4,8.6,5.4,13,21.2,31.4,12.1,122.3,14.7
L.A.Lakers,9,101.6,44,20.8,7,5.1,12.8,20.2,31.9,12.1,114.8,7.9
Dallas,5,99.8,40.8,23.1,6.8,4.2,13.3,19.4,31.3,9.5,115.3,10.5
Miami,2,98.2,41.3,19.3,8.5,5.3,14.1,19.7,31,10.3,110.9,14.6
Miami,2,101.6,38.5,22.5,8.6,5.4,13.1,19.5,29.9,8.6,118.4,18.4
San Antonio,1,105.6,43,24.5,7.5,4.8,13.6,18.6,33.7,9.3,124.7,19
Golden State,1,108.6,44.9,26.8,9.1,6,14.1,20.4,34.3,10.6,130.5,24.7
Cleveland,4,104.4,44.3,22.4,6.9,3.9,12.6,20.2,33.6,10.7,118.8,11.5
Golden State,1,116.5,44.7,30,9.4,6.7,14.3,19.7,35.3,9.4,144.2,32.1
Golden State,1,112.8,43.8,28.6,8,7.1,14.5,19.6,35.2,8.6,139.4,24.2
Toronto,5,112.7,44.5,24.8,8.2,5.2,12.9,21.4,35.2,9.3,131.3,12.2
L.A.Lakers,2,113.3,45.4,25.4,8.5,6.3,14.6,21.2,34.7,10.6,132.5,16.7
Milwaukee,5,117.7,48.3,24.8,8,4.6,13.1,17.4,37.4,10.9,137.6,13.2
Golden State,2,111.3,45.3,27.2,8.8,4.6,14.2,21,35.6,9.7,132.4,17.5
Utah,2,98.6,40.8,24.7,7.6,4.8,14.7,24.3,29.5,11.3,116.3,17.5
Phoenix,3,99.3,41.9,25.6,9.2,5.3,14.4,21.7,29.8,12.1,117.1,13.6
L.A.Lakers,4,104.8,42.9,24.3,8.7,6.8,14.7,22.9,29.7,13.2,120.8,13.2
San Antonio,5,92.5,44.1,21.9,6.2,6.9,15.3,21.2,32.2,11.9,108,13.1
Indiana,6,95.3,38.6,22.4,7.8,4.5,13.6,23,28.2,10.4,109,12.2
Miami,7,94.5,41.7,21.1,8,5.2,14.2,24.2,29.4,12.3,107.4,10
Seattle,8,100,38.5,24,9.7,4.5,13.4,22.3,27,11.5,114.5,9.4
Atlanta,9,95.5,42.8,19,8,5.9,14,20.5,29.5,13.4,108.1,7.3
New York,10,91.3,41.4,21.5,7.8,3.2,14.7,24.1,29.6,11.8,102.3,7.2
Cleveland,11,92,39.8,22.9,9.9,5,16.6,23.7,28.2,11.6,105.2,6.8
